X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5,5,5,2.4234751531547767,10.946226242791287,0.8695107686008485,5,5,3,2.525945984177875,10.627791699838486,0.6175978235039495
2.5,15,5,5,5,3.938930132395362,15.901199130190879,0.9772432323352217,6,5,5,9.205276535593883,17.06885015454854,6.3292544912027315
2.5,20,4,4,4,3.7573844113144115,20.464276609917164,0.6605193008698828,4,4,4,3.929679770391493,20.397521086194526,0.8296834736274643
2.5,25,5,5,5,4.5383658489197725,25.565329375187325,1.4478363573410253,5,5,5,4.196848782677498,25.58561347419221,1.1124430834262096
2.5,30,5,5,5,4.582084963211412,31.036814291740804,1.6131051671675705,5,5,5,4.503275791920793,31.090341081528805,1.563890583460778
2.5,35,5,5,5,3.7993664405757768,35.63853034118573,0.7389249906924327,5,5,5,3.7739796669604124,35.67467293583645,0.7278006685604805
2.5,40,5,5,4,2.919472202669857,40.76100380810132,0.40362610801647847,5,5,2,3.081136961210442,40.91160730146297,0.5119549249129284
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5,5,5,7.180885731589235,11.162964678782071,1.1945233942729137,5,5,5,7.099170481802327,11.236934734971925,1.3046530094620221
7.5,15,5,5,5,7.471991287921649,15.777548933413707,0.7327606291062148,5,5,5,7.538376098460053,15.848599852819827,0.7187929011411577
7.5,20,5,5,5,8.065762397266825,20.58401788771757,0.187175844,5,5,5,8.085558718278625,20.61344205988288,0.21393004357687329
7.5,25,5,5,5,8.394148826410873,25.689647747815762,0.41281878578092657,5,5,5,8.353320772585924,25.721852805525817,0.4095859400032793
7.5,30,5,5,5,8.155759587069635,30.880625165515756,0.4838488206839255,5,5,5,8.093274591137018,30.864187340826113,0.4642360590341878
7.5,35,5,5,5,7.531206897422335,35.66711663506035,0.628392306,5,5,5,7.607113268357056,35.68811645023752,0.5709189251786414
7.5,40,5,5,5,7.112101157791393,40.22459589141586,1.0033497514552447,5,5,5,7.150540151233384,40.37327746717426,0.949835827
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5,4,4,13.088975876820447,0.27826989529611124,0.12222826875603564,5,5,5,10.727001978352249,4.889974679718818,5.078483261295664
12.5,5,5,5,5,11.332017161111782,7.604296006024276,2.8257183512830526,5,5,5,11.277342382874044,7.860289242500796,3.061879152747934
12.5,10,5,5,5,11.468203142998359,12.157823790367683,2.3984798228259163,5,5,5,11.45419665770429,12.116424370339411,2.377978397842749
12.5,15,5,5,5,12.42390455689539,16.04535214134365,0.9346573888455868,5,5,5,12.402647543743834,16.08984787,0.9809131089733611
12.5,20,6,5,5,17.156619470973094,15.310214043482228,6.508616029191118,5,5,5,13.02483066197154,20.85689519517449,0.46303741614817123
12.5,25,5,5,5,13.34061759331971,25.638213192787532,0.3385887644813395,5,5,5,13.388653523019167,25.651883414058183,0.3831006533914866
12.5,30,5,5,5,12.784255435356407,30.488875987430145,0.32801459,5,5,5,12.76662447196741,30.45535029772874,0.3379391929765895
12.5,35,5,5,5,12.072383409348461,35.35875329737833,1.028444042162456,5,5,5,12.04809169094209,35.24658513595413,1.0630367873104312
12.5,40,5,5,5,11.66760664918807,38.95303451492769,2.0360402320290185,5,5,5,11.710810457262886,39.20806152690551,1.8304548367258264
