X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5,5,5,1.44067062,8.608526654,2.441874432,5,5,5,1.44864618,8.579734492,2.457709494
2.5,15,5,5,5,3.095670716,14.72623013,0.673783774,5,5,5,3.120525744,14.7036997,0.696602767
2.5,20,5,5,5,3.172665709,19.56566524,0.837493163,5,5,5,3.137430441,19.56450011,0.836337917
2.5,25,5,5,5,3.544345283,25.5992264,0.486963949,5,5,5,3.542692527,25.60358708,0.487262118
2.5,30,5,5,5,3.257159242,31.64630616,1.256175975,5,5,5,3.228332907,31.66442181,1.270917716
2.5,35,5,5,5,3.242721818,36.37150561,0.981933124,5,5,5,3.264955761,36.354163,0.968316805
2.5,40,5,5,5,1.277430808,43.95149088,3.991847436,5,5,5,1.325440416,44.07607345,4.081982086
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5,5,5,6.86075591,9.817483699,1.369325073,5,5,5,6.873077703,9.789224351,1.370541942
7.5,15,5,5,5,7.4892372,14.81847374,0.84332911,5,5,5,7.489041438,14.81226993,0.847759991
7.5,20,5,5,5,7.50512235,19.85590124,0.806177943,5,5,5,7.496006777,19.86099956,0.809524112
7.5,25,5,5,5,7.870244173,25.62066678,0.318561715,5,5,5,7.858821829,25.62332352,0.328694848
7.5,30,5,5,5,7.633767861,31.45397228,1.152488596,5,5,5,7.646452323,31.46087484,1.153759477
7.5,35,5,5,5,7.442461285,36.33547783,1.143449137,5,5,5,7.43555987,36.39485606,1.196335767
7.5,40,5,5,5,6.864230544,41.93716892,1.972311955,6,5,5,6.646558796,38.54651007,2.355401505
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5,5,5,10.79305739,2.44367585,3.081979099,5,5,5,10.72522317,2.674415079,3.288241013
12.5,5,5,5,5,11.56445747,6.435218387,1.851909276,5,5,5,11.58302025,6.405090724,1.819734849
12.5,10,5,5,5,11.70449422,10.94422624,1.497871351,5,5,5,11.69043393,10.98901892,1.527684452
12.5,15,5,5,5,12.29217366,14.8828802,0.959164362,5,5,5,12.29774478,14.87260078,0.960085092
12.5,20,5,5,5,13.0368249,20.11469048,0.292220146,5,5,5,13.04509209,20.10207843,0.302939172
12.5,25,5,5,5,13.25446981,25.57392214,0.232615203,5,5,5,13.2659585,25.58426117,0.247980652
12.5,30,5,5,5,12.89479857,31.07985052,0.710143893,5,5,5,12.91572942,31.13636764,0.759073746
12.5,35,5,5,5,12.0664715,36.16551933,1.286157459,5,5,5,12.08590806,36.25569854,1.326876954
12.5,40,5,5,5,11.81249921,40.51947629,1.293032429,5,5,5,11.85699478,40.61291337,1.261108271
12.5,45,5,5,5,11.45942415,44.50202541,1.870253321,5,5,5,11.39364847,44.33974841,2.008922339
12.5,50,5,5,5,10.77975107,47.90500291,3.407134508,5,5,5,10.89783815,48.18612105,3.122623382
17.5,0,5,5,5,13.91533903,5.057935862,6.261609534,5,5,5,13.86906713,5.155845093,6.365442286
17.5,5,5,5,5,15.91878538,10.43855837,5.490425091,5,5,5,15.92052527,10.31784179,5.379152166
17.5,10,5,5,5,16.57395425,13.1113264,3.111286948,5,5,5,16.59593148,13.06800224,3.062753347
17.5,15,5,5,5,17.7679017,17.15160666,1.782811033,5,5,5,17.79360373,17.15760315,1.784109721
