X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Place_Latency_Avg,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance,Remove_Latency_Avg
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,5.0,2.565208629239329,10.613280512508913,0.5757520188902009,0.0007285879924893379,5.0,5.0,4.0,2.370611494565052,10.658616761287133,0.7738799784716448,0.0007357701659202575
2.5,15,5.0,5.0,5.0,3.7590926043437327,15.695785328532043,0.7224209449312863,0.0005774348042905331,5.0,5.0,5.0,3.5977511882336386,15.653225530048505,0.5584616499423621,0.0005675242748111487
2.5,20,5.0,5.0,5.0,3.8810627980916808,20.47705430554846,0.7848544199826877,0.0005796546116471291,5.0,5.0,5.0,3.9065964772661914,20.45318714732975,0.8083481612395157,0.0005662195384502411
2.5,25,5.0,5.0,5.0,4.697608739313199,25.580777527452046,1.607804154230727,0.000577075406908989,6.0,5.0,5.0,9.717956009823062,26.02580200504561,6.647478461602738,0.0005703071753184
2.5,30,5.0,5.0,5.0,4.579942973628876,30.987471650461565,1.5922795437012676,0.0006315788254141807,5.0,5.0,5.0,4.520449555832237,31.061461079355524,1.566910239983828,0.0006165445316582918
2.5,35,5.0,5.0,5.0,3.862868083708414,35.68603215875743,0.8147282424123905,0.0005917651578783989,7.0,5.0,6.0,7.5093167819340305,48.42394764145896,13.750101332386954,0.0005883324359144483
2.5,40,5.0,5.0,4.0,2.92653549180966,41.219089055628764,0.8372555264986548,0.0005785880144685507,5.0,5.0,2.0,3.043790119558818,40.822405905629715,0.4261294401588242,0.0006360683590173721
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,7.0,5.0,5.0,15.010625245762352,0.288307498502594,12.24757390392917,0.0006411632389894553,5.0,5.0,5.0,7.1396904099097664,11.34446203298663,1.3469235466694127,0.0006151084322482348
7.5,15,5.0,5.0,5.0,7.602267775546332,15.741898788846859,0.6038477863456523,0.0006786345969885587,5.0,5.0,5.0,7.715761899087754,15.769294093877772,0.5329324966312837,0.0005842496640980244
7.5,20,5.0,5.0,5.0,8.07199307448049,20.585583008249557,0.18768441818118814,0.0005900124553591013,5.0,5.0,5.0,8.085105699207933,20.607051219893304,0.2075862419703926,0.0005656863562762737
7.5,25,5.0,5.0,5.0,8.451027061035361,25.68965688346909,0.45510560062490013,0.0005723030306398868,5.0,5.0,5.0,8.403487742275423,25.70942755392057,0.43341691341790295,0.0005824179854243994
7.5,30,5.0,5.0,5.0,8.163135699608894,30.895565530618335,0.4995711277707484,0.0006006565876305103,5.0,5.0,5.0,8.163377631107917,30.895024440565578,0.49906504674452623,0.000573227135464549
7.5,35,5.0,5.0,5.0,7.671590157926355,35.68483504179291,0.5144569892797006,0.0005841047968715429,5.0,5.0,5.0,7.663957894762706,35.694160967391454,0.5259880153353766,0.0005926041398197412
7.5,40,5.0,5.0,5.0,7.099474150270969,40.186172032421034,1.0231199224406442,0.000632261810824275,5.0,5.0,5.0,7.099956153419251,40.226668816497394,1.0149538877497997,0.0006093154195696115
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,4.0,5.0,15.456720560207595,-3.2478078683454896,4.342883148700695,0.0006061699707061053,5.0,5.0,5.0,10.944168200231909,4.8211396903306305,4.918748510577476,0.0006346142385154962
12.5,5,5.0,5.0,5.0,11.421155103942592,7.9507750386788505,3.053681955110109,0.0005936444737017155,6.0,5.0,5.0,15.601620323034984,4.0558804003211995,2.8398524149790534,0.0006479396640012661
12.5,10,5.0,5.0,5.0,11.51706754975413,12.151135120773104,2.360540055420883,0.0005723100155591964,5.0,5.0,5.0,11.50705109705342,12.131702020873515,2.352929683712653,0.0005803446285426617
12.5,15,5.0,5.0,5.0,12.446315916673743,16.062898576480592,0.9309873272467689,0.000560927577316761,5.0,5.0,5.0,12.41120819738707,16.113011137192807,0.9913722959149843,0.0005811638198792935
12.5,20,5.0,5.0,5.0,13.01376563685002,20.925039713988042,0.5320743055744462,0.0006153666414320469,5.0,5.0,5.0,13.030947218484112,20.90027598308099,0.505019153976099,0.0005602132063359022
12.5,25,5.0,5.0,5.0,13.334290892323153,25.642497809379336,0.33719046513707485,0.0006220248993486166,5.0,5.0,5.0,13.328297035287989,25.642058495724456,0.3327339052060555,0.0005896744318306446
12.5,30,5.0,5.0,5.0,12.894227036571559,30.491233557035876,0.22509125795450416,0.0006269620265811682,5.0,5.0,5.0,12.884755912533475,30.50133096838102,0.2379033046057419,0.0006212085485458374
12.5,35,5.0,5.0,5.0,12.203970674078665,35.331531676898734,0.898641454741178,0.0005806435830891133,5.0,5.0,5.0,12.16693414863449,35.23681417870846,0.9472283226630402,0.0005794886033982039
12.5,40,5.0,5.0,5.0,11.60621251343845,38.94269424210849,2.0868974883763753,0.0005749178119003773,5.0,5.0,5.0,11.68249338545055,39.062394431513816,1.9489775932874867,0.0006013518199324608
12.5,45,5.0,5.0,5.0,11.439459398097455,43.16667993011384,2.783004424201154,0.0005809118505567312,5.0,5.0,5.0,11.282725811326317,42.862553846499495,3.1210764903690027,0.000582954753190279
12.5,50,5.0,5.0,5.0,10.28532624369548,44.988356548760436,6.099858457191727,0.0005871834233403206,5.0,5.0,5.0,10.194432956969825,45.14997887537071,6.000420122841144,0.0005880906246602535
17.5,0,5.0,5.0,5.0,13.368911388297516,7.593722862038007,8.6100434416784,0.0005934895947575569,5.0,5.0,5.0,13.369836619695755,7.479973792606765,8.514721047008523,0.0005832761991769076
