X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,4.0,1.0,14.387145402698724,6.532258617868412,11.93143221665849,5.0,3.0,0.0,13.20995202038958,4.653774189064486,11.628853809591075
2.5,15,5.0,3.0,5.0,14.687793568673422,12.880733070163014,11.858484964528959,5.0,3.0,4.0,9.242167627045974,14.583878624455684,6.196150196561727
2.5,20,5.0,0.0,5.0,18.966045612638943,17.44029580165481,16.13974139582297,5.0,1.0,5.0,13.93220586041124,17.77078862966779,11.146723116333867
2.5,25,5.0,1.0,5.0,17.496859369269867,29.421102554284506,14.947870264710184,5.0,3.0,5.0,13.202787799907394,27.979509093588625,10.426897357021604
2.5,30,5.0,1.0,5.0,15.577680193206643,33.96758496906214,12.977679511970523,5.0,0.0,5.0,16.32806143241553,33.7699140068129,13.65056517778927
2.5,35,5.0,0.0,2.0,19.058370199453826,40.03964170019482,16.61914120912999,5.0,1.0,3.0,17.24130247644013,38.395156075911174,14.455012820791248
2.5,40,5.0,1.0,1.0,13.770032174641917,42.84367120767253,10.94628318558868,5.0,1.0,0.0,18.363097962934656,42.57966326855984,15.417947054989165
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,3.0,4.0,14.112106527152628,7.3169212648814055,6.756537528998986,5.0,4.0,4.0,13.329997714667467,8.066151305066494,5.727104488855582
7.5,15,5.0,3.0,3.0,11.063981931439006,13.770521508407194,3.382364416271622,5.0,3.0,4.0,13.246547257639298,14.988114600305451,5.163002833390286
7.5,20,5.0,1.0,5.0,17.82732775486377,19.276536123618023,9.791990417278718,5.0,3.0,5.0,18.32471124658232,19.5491542134538,10.2600515899517
7.5,25,5.0,1.0,5.0,18.658934366810833,28.291114373924167,10.947585911319894,5.0,4.0,5.0,12.829675686492166,26.284650877709076,4.811698169547482
7.5,30,5.0,1.0,5.0,21.133549578217252,34.826019008234844,13.764558070243421,5.0,2.0,4.0,18.371133885444767,35.026858085023925,11.265167865224335
7.5,35,5.0,2.0,2.0,18.70152678215049,39.562740880457554,11.389503138876897,5.0,1.0,3.0,20.832041007077027,38.24309682938695,13.045614887277685
7.5,40,5.0,4.0,4.0,13.228245135853694,41.49101197431787,5.243014905711413,6.0,2.0,3.0,7.63566935613868,35.75471340583401,4.668435550456588
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,2.0,15.70916447028937,0.1018648311906544,2.6261423822598395,5.0,5.0,2.0,15.000357025025886,2.3268839875712155,2.706333077084856
12.5,5,5.0,3.0,1.0,20.729225686969944,-0.6134200288982182,9.71423208630905,5.0,5.0,3.0,15.46133227960018,2.3227266985131165,3.8788530658850395
12.5,10,5.0,3.0,3.0,12.91588720710229,11.028594115138018,0.6550023527398527,5.0,3.0,4.0,14.360530372912553,11.005312801607264,1.3983348700596347
12.5,15,5.0,3.0,4.0,23.040775184396985,14.158052665972601,10.01805592154589,5.0,5.0,5.0,16.418437514438732,14.677440608355349,3.3961919279817216
12.5,20,5.0,4.0,5.0,21.251023711341304,20.16949329878453,8.154282364632305,5.0,3.0,5.0,22.55324457165259,20.19228093079509,9.45552643395335
12.5,25,5.0,2.0,5.0,22.093173808369247,26.869522990839,9.112446047475016,5.0,4.0,5.0,19.247164340097537,27.651771402382327,6.546610105447985
