X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,0.0,0.0,17.306040455547002,6.022933759579762,14.865069602853014,5.0,0.0,0.0,17.775478382167236,5.8614871603232865,15.361242285094272
2.5,15,5.0,1.0,5.0,14.749181695174963,13.89772555698861,11.745648669585032,5.0,4.0,5.0,11.376335207298428,14.458436845717248,8.32972182231018
2.5,20,5.0,0.0,5.0,18.724518735729884,18.641931513659465,15.723116438093239,5.0,0.0,5.0,17.058214957337075,19.02453663978856,14.025821339604772
2.5,25,5.0,0.0,5.0,19.500584300402398,29.244754358711752,16.84521598179847,6.0,0.0,5.0,20.23150966724116,28.655995193736427,17.438180185455476
2.5,30,5.0,0.0,5.0,19.640148037833647,33.53989403494072,16.83554072978081,5.0,0.0,5.0,18.602572081585308,33.43310763776585,15.796502242174428
2.5,35,5.0,0.0,5.0,16.18093890355727,37.75609694628052,13.291431654222597,7.0,3.0,5.0,15.056467913914615,39.95625294703594,12.795177446750921
2.5,40,5.0,0.0,0.0,20.685835329122312,44.16899230557531,17.985185771142103,5.0,1.0,1.0,17.174317361919506,42.41057320929485,14.217201336197045
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,7.0,5.0,4.0,12.45803536339677,7.646364628317126,5.155092626597499,5.0,3.0,5.0,9.006117643794658,11.4781492469451,1.4083518676397129
7.5,15,5.0,2.0,5.0,18.945453373727897,12.209590992921882,11.304979810426511,5.0,1.0,5.0,19.44628867678886,12.116366895558553,11.811880167933085
7.5,20,5.0,1.0,5.0,20.296916747654883,17.677729587608198,12.49702101892319,5.0,0.0,5.0,20.182273289821843,16.839950785974036,12.595843689734691
7.5,25,5.0,1.0,5.0,18.7460625728693,26.42442472662528,10.69523699251072,5.0,0.0,5.0,20.598015256021466,28.742854042237134,12.937351293346195
7.5,30,5.0,0.0,5.0,16.34440985277925,32.49524273349782,8.50648787296373,5.0,1.0,5.0,20.17011078498881,32.90893357513794,12.328111049400782
7.5,35,5.0,2.0,5.0,18.072316417667217,38.923657692852544,10.576542831685316,5.0,4.0,5.0,16.778680277853898,38.53251749896808,9.226708906568554
7.5,40,5.0,4.0,4.0,11.575389437400082,40.35371482383023,3.4756976363206746,5.0,5.0,5.0,9.167787022343273,40.84852613916632,1.1581644195018932
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,4.0,2.0,18.904193794498717,-4.321363129901064,7.48197403152982,5.0,5.0,0.0,18.766064354873592,2.3853737825255363,6.0038316373719915
12.5,5,5.0,5.0,4.0,18.148749108366925,5.855778660108104,5.069280200013189,6.0,5.0,5.0,21.079196861420282,7.692612909957791,8.302027252918675
12.5,10,5.0,4.0,5.0,16.308139771876984,10.659178420024308,3.2185919668863288,5.0,5.0,5.0,19.224609292256016,9.72842731973585,6.161318758810156
12.5,15,5.0,3.0,5.0,22.66336802774547,12.88127269978718,9.889489129724632,5.0,4.0,5.0,22.28430461320757,13.038494270862719,9.483045952484575
12.5,20,5.0,2.0,5.0,22.6424796572339,18.683809173450054,9.695577804435224,5.0,3.0,5.0,22.463417247088234,17.962971719787582,9.675365077433746
12.5,25,5.0,1.0,5.0,20.276948115616555,27.20417397160478,7.400245129322961,5.0,3.0,5.0,19.76677844225104,19.503479554349646,8.900274611720464
