X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,0.0,No Data,20.130964764474204,12.447151635820015,17.153559124240147,5.0,0.0,No Data,20.323260600912068,12.330705082398861,17.331137523028623
2.5,15,5.0,1.0,No Data,13.841004173978897,14.548184336283247,10.774727866186938,5.0,0.0,No Data,13.474131187295416,14.6155961959806,10.40374390394994
2.5,20,5.0,0.0,No Data,16.947038918869623,19.039592257294366,13.913705331330812,5.0,0.0,No Data,17.01715478955011,19.11855569254572,13.976025792384776
2.5,25,5.0,0.0,No Data,18.466355153250202,26.63224389370554,15.415683433094806,5.0,0.0,No Data,18.205520810432603,26.652556141791457,15.157363090021692
2.5,30,5.0,0.0,No Data,17.581778603831566,31.702978583348404,14.540277326071136,5.0,0.0,No Data,17.327854377351393,31.64602226132854,14.282311145568965
2.5,35,5.0,0.0,No Data,14.835941432001539,36.5611714492645,11.793245542680664,5.0,0.0,No Data,14.94293473159136,36.4876871342511,11.892777907568453
2.5,40,3.0,0.0,No Data,22.80496814561992,34.92423285306533,20.451645299763655,2.0,0.0,No Data,16.795865478574562,49.63424604459466,16.518112217179134
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,3.0,No Data,5.214607378435912,20.679455320637928,10.676736030714999,5.0,2.0,No Data,5.050730296607837,20.950112702356787,10.981936248060054
7.5,15,5.0,2.0,No Data,18.28149343567023,15.271217571589151,10.182307866808163,5.0,3.0,No Data,18.061149340042583,15.179913689624112,9.963580388527292
7.5,20,5.0,0.0,No Data,19.76516139467433,19.62041482487229,11.691182293039454,5.0,0.0,No Data,19.61628117192485,19.627845977327848,11.542138184303617
7.5,25,6.0,1.0,No Data,17.35203577558482,26.28027885474816,9.293818206464882,5.0,0.0,No Data,20.19811684731797,27.064189298885914,12.21204148674108
7.5,30,5.0,0.0,No Data,19.446809235275914,31.48069394578068,11.398156834602242,5.0,0.0,No Data,19.69145525733929,31.496584673288766,11.643209734802104
7.5,35,5.0,1.0,No Data,18.59788595293542,35.807281166545316,10.505783522872598,5.0,2.0,No Data,18.37214428958734,35.89240209418555,10.283939329287202
7.5,40,3.0,1.0,No Data,5.745594659769325,29.002928369927883,11.637717398489336,5.0,2.0,No Data,16.256801284042798,34.85520397339376,9.862969642254331
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,No Data,15.265846339759028,0.77868845115347,2.1987030973927775,6.0,5.0,No Data,18.208898026084942,1.5288158519437307,5.2321185258491685
12.5,5,5.0,5.0,No Data,14.828243120363533,3.425649874585209,2.6239060007571315,6.0,4.0,No Data,14.345074503890274,-0.7947319326392401,6.318616481279578
12.5,10,5.0,5.0,No Data,20.16015200257936,12.1326591875482,7.269652960060784,5.0,5.0,No Data,20.467453944174295,12.194650123816919,7.582885116263167
12.5,15,5.0,5.0,No Data,21.702117477989297,15.734184270150417,8.608606404729217,5.0,5.0,No Data,21.66026158119891,15.756223324480407,8.5676702431556
12.5,20,5.0,5.0,No Data,22.78237191339279,20.09325021855533,9.68722980514419,5.0,4.0,No Data,22.67574522772184,20.12127952912154,9.57980071646192
12.5,25,6.0,1.0,No Data,20.075492721570026,29.279921670197023,7.981935283848202,6.0,1.0,No Data,22.377313261323167,24.693133116706388,9.304203466144747
