X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,0.0,No Data,14.92100514211187,4.33515310100146,13.286027641026775,5.0,0.0,No Data,15.129923134303581,4.244587535705813,13.513258423594243
2.5,15,5.0,5.0,No Data,12.184802001785858,11.969448498000217,9.710937700321495,5.0,5.0,No Data,11.830544781233485,12.056503326892933,9.348870636617091
2.5,20,5.0,0.0,No Data,14.942324645137811,15.91821696266806,12.662031124371584,5.0,0.0,No Data,14.95076831729024,15.901155702842834,12.67597371881757
2.5,25,5.0,0.0,No Data,16.711382884382157,27.314329176945694,13.745341036982573,5.0,0.0,No Data,16.50392702156373,28.062275567794153,13.665759064109098
2.5,30,5.0,0.0,No Data,15.241277401137717,35.347180017367315,13.11049987817459,5.0,0.0,No Data,15.608630003312083,34.63247388673552,13.205289082850754
2.5,35,5.0,3.0,No Data,12.995320321898177,39.427050809293824,10.683375051621333,5.0,3.0,No Data,13.05497834114829,39.42726835621288,10.73873755083367
2.5,40,3.0,1.0,No Data,18.424518451079518,32.31015565367459,17.32877512420453,2.0,1.0,No Data,10.321246209369233,43.700973660949884,7.939951128729598
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,4.0,No Data,-0.3534985981111758,12.009816629084359,8.60541388473234,5.0,3.0,No Data,-0.650930314356993,12.072527101951028,8.90932816061306
7.5,15,5.0,5.0,No Data,16.265068520391488,12.131608602624457,8.79492616621234,5.0,5.0,No Data,16.12938414495677,12.172121390258061,8.653912991619036
7.5,20,5.0,5.0,No Data,17.834990158792568,16.61510434795112,10.444877619612718,5.0,5.0,No Data,17.704631892592825,16.651374511701214,10.310244751883175
7.5,25,6.0,0.0,No Data,15.167407297715187,23.491197425430215,7.32064021657137,5.0,0.0,No Data,18.885221530201058,27.704673878661275,11.02871366671998
7.5,30,5.0,5.0,No Data,17.468554390447657,34.56087144540359,10.250983491936326,5.0,4.0,No Data,17.676267203738032,34.63426782692228,10.470621642839445
7.5,35,5.0,5.0,No Data,16.467326926800407,39.12459894846608,9.158864407057994,5.0,5.0,No Data,16.296811297548366,39.123731972140966,9.0029936825459
7.5,40,3.0,1.0,No Data,-0.9160005327226567,39.375148954729006,9.07406112339168,5.0,3.0,No Data,10.92504802025792,41.73448694034785,3.1243802122536506
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,No Data,15.440125305256236,1.050043857958348,2.428732892182664,6.0,5.0,No Data,19.129200169109755,3.2958564562547603,6.688590232210782
12.5,5,5.0,5.0,No Data,15.903404610263937,5.0996951768424275,2.819443277610103,6.0,5.0,No Data,18.405900525646413,6.889334474076435,5.510961582494239
12.5,10,5.0,5.0,No Data,18.18942163146812,9.064197425510987,5.2618039740061695,5.0,5.0,No Data,18.43487557832779,9.029889948924357,5.5080031761335055
12.5,15,5.0,5.0,No Data,19.68899721377479,12.599720700869065,7.159360895797417,5.0,5.0,No Data,19.632652358722133,12.59920019299247,7.1077441146155005
12.5,20,5.0,5.0,No Data,21.17223072466212,17.58623213961067,8.548578738266327,5.0,5.0,No Data,21.07005092275767,17.621185326216818,8.44058781736101
12.5,25,6.0,5.0,No Data,15.659717203866874,25.623175151204688,2.5694278179951437,6.0,6.0,No Data,18.133612902900612,25.95876660145855,5.06453146610356
