X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM-1,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM-1,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,10,5.0,5.0,5.0,1.417538999039749,8.540179838537084,2.507908701036806,5.0,5.0,5.0,1.4185757562261998,8.514349219229917,2.5264335246685437
2.5,15,5.0,5.0,5.0,3.0716459212535385,14.807317277464241,0.5933605677612561,5.0,5.0,5.0,3.083358356153836,14.780407871544941,0.6198155773723123
2.5,20,5.0,5.0,5.0,3.1459590766006515,19.59164659146693,0.8096588601435887,5.0,5.0,5.0,3.116459782039353,19.586400904609572,0.813765575853945
2.5,25,5.0,5.0,5.0,3.536355703634835,25.600729673938105,0.48031104723288476,5.0,5.0,5.0,3.5211028546972925,25.605974399244264,0.46877827101759423
2.5,30,5.0,5.0,5.0,3.26756192516847,31.618523005113765,1.22998996449469,5.0,5.0,5.0,3.2307013429577496,31.644733049612398,1.2515762884652073
2.5,35,5.0,5.0,5.0,3.2320216493240155,36.38672534546593,0.9955182686797374,5.0,5.0,5.0,3.2483138750851217,36.37343863213182,0.9846724206909837
2.5,40,3.0,1.0,1.0,13.776362959423224,57.994689487024836,20.580520503285783,2.0,1.0,2.0,2.6034336940113776,32.70376328708851,7.712239469661829
2.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,10,5.0,5.0,5.0,6.919924191103229,9.744847251741282,1.3497422117924291,5.0,5.0,5.0,6.928428574620415,9.712288149681758,1.3585018195917493
7.5,15,5.0,5.0,5.0,7.455937596114251,14.874802881675715,0.8310525814864083,5.0,5.0,5.0,7.4537076779720906,14.873757483047166,0.8334416309262939
7.5,20,5.0,5.0,5.0,7.522140287311503,19.826561983368485,0.8140964356061977,5.0,5.0,5.0,7.506677398638743,19.827053323415008,0.8248027664210846
7.5,25,6.0,5.0,5.0,5.887184365764782,21.215201553019707,4.733824148927003,5.0,5.0,5.0,7.859415693954266,25.63894340313388,0.3390792801347608
7.5,30,5.0,5.0,5.0,7.636807032340995,31.499230820730048,1.1928353291765021,5.0,5.0,5.0,7.647199984971666,31.511181105288916,1.199896371509123
7.5,35,5.0,5.0,5.0,7.491944922639472,36.329633499801936,1.1108327601659562,5.0,5.0,5.0,7.475276167462897,36.37667497987752,1.1593851315497385
7.5,40,3.0,3.0,3.0,6.837879754805336,41.78973448286275,1.8773144239013435,5.0,3.0,4.0,10.585360728763735,47.918854971041256,7.918977082151004
7.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
7.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,0,5.0,5.0,5.0,10.717517504867498,2.520680497553093,3.189593800519876,6.0,5.0,5.0,14.876683350693872,-0.5518176001943701,2.015579438442597
12.5,5,5.0,5.0,5.0,11.488536421599962,6.474500621557972,1.9368444569036312,6.0,5.0,5.0,14.4913111128703,8.468228191633026,3.3689420963750707
12.5,10,5.0,5.0,5.0,11.83170992909183,11.044011157391342,1.4224310439556593,5.0,5.0,5.0,11.81691838538865,11.090745039708047,1.4571983871919905
12.5,15,5.0,5.0,5.0,12.229025840142302,14.922781961956392,0.9931430123471704,5.0,5.0,5.0,12.245911724747549,14.89945714480036,0.9899545099726121
12.5,20,5.0,5.0,5.0,13.038959346528092,20.11896138455593,0.2875911416351279,5.0,5.0,5.0,13.037899776908565,20.122425376020725,0.2844364772409488
12.5,25,6.0,5.0,5.0,12.590997101504847,33.70331450270371,8.318901110211991,6.0,6.0,5.0,11.881618062896168,25.322161630432944,1.2208658224545983
